PLOT_ID,P_STATUS,PLOT_SIZE,CATEGORY,RECLASSIFICATION,TCC,BAM,DISTANCE,location_srs,location_x,location_y
292,PA,11.28,Forest,Forest,15.86,21,3,EPSG:4326,32.64876,-12.15373
201,PA,11.28,Wetland,Forest,24.96,0,4,EPSG:4326,32.65745,-12.12766
202,PA,11.28,Grassland,Forest,17.16,8,4,EPSG:4326,32.66614,-12.12766
2012,OA,11.28,Forest,Forest,5.46,16,1,EPSG:4326,32.92684,-13.17917
2311,OA,11.28,Grassland,Forest,6.5,9,1,EPSG:4326,32.93553,-13.18786
2686,OA,11.28,Forest,Forest,17.68,9,1,EPSG:4326,32.94422,-13.08357
555,OA,25.23,Wetland,Wetland,22.1,14,1,EPSG:4326,32.94422,-13.24
1121,OA,25.23,Cropland,Cropland,5.72,0,1,EPSG:4326,32.95291,-12.94453
2770,OA,25.23,Cropland,Cropland,5.72,0,1,EPSG:4326,32.94422,-12.92715
924,OA,25.23,Grassland,Grassland,22.36,5,1,EPSG:4326,32.92684,-13.07488
4574,OA,25.23,Grassland,Grassland,23.92,3,1,EPSG:4326,32.84863,-13.24869
1043,OA,11.28,Cropland,Forest,11.44,13,1,EPSG:4326,32.90946,-13.24869
2665,OA,25.23,Cropland,Cropland,24.96,4,1,EPSG:4326,32.88339,-13.24869
2838,OA,25.23,Cropland,Cropland,4.16,3,1,EPSG:4326,32.75304,-13.28345
4534,OA,25.23,Grassland,Grassland,16.12,6,1,EPSG:4326,32.77911,-13.29214
2439,OA,25.23,Wetland,Cropland,24.96,1,1,EPSG:4326,32.77042,-13.28345
4004,OA,25.23,Wetland,Grassland,24.96,1,1,EPSG:4326,32.83125,-13.26607
1986,OA,25.23,Cropland,Cropland,24.96,0,1,EPSG:4326,32.85732,-12.74466
2518,OA,25.23,Grassland,Grassland,18.2,9,1,EPSG:4326,32.81387,-12.31015
2627,PA,25.23,Wetland,Wetland,24.96,4,1,EPSG:4326,32.76173,-12.95322
3004,OA,25.23,Cropland,Cropland,10.4,3,1,EPSG:4326,32.92684,-12.86632
4701,OA,11.28,Grassland,Forest,2.6,19,1,EPSG:4326,32.93553,-12.84894
1626,OA,11.28,Forest,Forest,1.3,21,1,EPSG:4326,32.7878,-12.97929
4743,OA,25.23,Wetland,Wetland,10.66,3,2,EPSG:4326,32.84863,-12.86632
865,OA,25.23,Cropland,Cropland,7.8,8,1,EPSG:4326,32.84863,-13.03143
4308,OA,25.23,Wetland,Wetland,19.24,11,1,EPSG:4326,33.01374,-12.93584
546,OA,25.23,Cropland,Cropland,14.56,10,1,EPSG:4326,32.86601,-13.03143
3577,OA,11.28,Grassland,Forest,6.24,16,1,EPSG:4326,32.83125,-13.01405
2116,OA,11.28,Forest,Forest,2.08,13,1,EPSG:4326,32.93553,-13.01405
886,OA,25.23,Cropland,Cropland,0,6,1,EPSG:4326,32.95291,-12.99667
1983,OA,25.23,Grassland,Cropland,8.58,6,1,EPSG:4326,32.84863,-13.3269
866,OA,11.28,Forest,Forest,1.82,18,1,EPSG:4326,32.92684,-12.97929
1182,PA,25.23,Wetland,Wetland,11.18,7,3,EPSG:4326,32.67483,-12.99667
618,PA,25.23,Wetland,Wetland,7.28,14,2,EPSG:4326,32.69221,-12.99667
908,PA,11.28,Cropland,Forest,6.24,18,3,EPSG:4326,32.83994,-12.83156
1236,PA,11.28,Forest,Forest,1.04,17,3,EPSG:4326,32.77042,-12.95322
1194,OA,25.23,Cropland,Cropland,24.96,2,1,EPSG:4326,32.81387,-12.98798
2084,PA,25.23,Wetland,Wetland,8.06,10,1,EPSG:4326,32.85732,-12.71859
640,OA,25.23,Cropland,Cropland,24.96,0,1,EPSG:4326,32.86601,-13.30083
