PLOT_ID,PLANT_NO,STEM_NO,LOCAL_NAME,SPECIES,HEIGHT,GBH,PLANTED,ALIVE
292,1,1,Chiyombo 2,Brachystegia utilis,4.4,11,n,a
292,1,2,Chiyombo 2,Brachystegia utilis,NA,8.9,n,a
292,1,3,Chiyombo 2,Brachystegia utilis,NA,26.1,n,a
292,2,1,Kaumbu,Lannea discolor,4.8,7,n,a
292,3,1,Kamponi,Julbernardia globiflora,4,5,n,a
292,4,1,Kabesha 1,Terminalia stuhlmannii,3.6,5,n,a
292,5,1,Mpyoka,Hymenocardia acida,2.8,4.3,n,a
292,6,1,Mtowa,Diplorhynchus condylocarpon,6,7.4,n,a
292,7,1,Chiyombo 2,Brachystegia utilis,6.2,16.8,n,a
292,8,1,Msolo,Pseudolachnostylis maprouneifolia,10.6,17.3,n,a
292,8,2,Msolo,Pseudolachnostylis maprouneifolia,NA,24,n,a
292,8,3,Msolo,Pseudolachnostylis maprouneifolia,NA,42.2,n,a
292,9,1,Chiyombo 2,Brachystegia utilis,5.6,8.8,n,a
292,9,2,Chiyombo 2,Brachystegia utilis,NA,11.9,n,a
292,9,3,Chiyombo 2,Brachystegia utilis,NA,22.6,n,a
292,9,4,Chiyombo 2,Brachystegia utilis,NA,9.4,n,a
292,9,5,Chiyombo 2,Brachystegia utilis,NA,30.4,n,a
292,10,1,Chiyombo 2,Brachystegia utilis,7.2,11,n,a
292,11,1,Mulombe,Pterocarpus angolensis,10,14.9,n,a
292,12,1,Gobogobo,Crosspteryx febrijuga,9.6,13.8,n,a
292,13,1,Mukalakate,Monotes glaber,4.8,5,n,a
292,14,1,Mtowa,Diplorhynchus condylocarpon,4,8.8,n,a
292,14,2,Mtowa,Diplorhynchus condylocarpon,NA,8.8,n,a
292,15,1,Kamponi,Julbernardia globiflora,7.2,11.8,n,a
3163,1,1,Mtondo,Julbernardia paniculata,7.6,8.1,n,a
3163,2,1,Mtondo,Julbernardia paniculata,6.8,7,n,a
3163,3,1,Mtondo,Julbernardia paniculata,10.8,16,n,a
3163,4,1,Mtondo,Julbernardia paniculata,13.8,7.9,n,a
3163,4,2,Mtondo,Julbernardia paniculata,NA,21.9,n,a
3163,5,1,Mtondo,Julbernardia paniculata,4.8,6,n,a
3163,5,2,Mtondo,Julbernardia paniculata,NA,5,n,a
3163,5,3,Mtondo,Julbernardia paniculata,NA,8.5,n,a
3163,6,1,Kalamafupa,Combretum zeyheri,6,11.2,n,a
3163,7,1,Mtondo,Julbernardia paniculata,8.2,8.4,n,a
3163,8,1,Mtondo,Julbernardia paniculata,10.2,9.5,n,a
3163,9,1,Mtondo,Julbernardia paniculata,5,8,n,a
3163,10,1,Msolo,Pseudolachnostylis maprouneifolia,4.2,9,n,a
3163,11,1,Mulumila,Mulumila sp1,2.2,7.1,n,a
3163,12,1,Mtondo,Julbernardia paniculata,9.2,13.5,n,a
3163,13,1,Mtondo,Julbernardia paniculata,8.6,7.2,n,a
3163,14,1,Mtondo,Julbernardia paniculata,6.2,7,n,a
3163,15,1,Mugulo,Diospyros kirkii,5.2,7,n,a
3163,16,1,Mtondo,Julbernardia paniculata,7.8,7.7,n,a
3163,17,1,Msolo,Pseudolachnostylis maprouneifolia,6.8,6,n,a
3163,17,2,Msolo,Pseudolachnostylis maprouneifolia,NA,7,n,a
3163,17,3,Msolo,Pseudolachnostylis maprouneifolia,NA,8.1,n,a
3163,17,4,Msolo,Pseudolachnostylis maprouneifolia,NA,6.9,n,a
3163,17,5,Msolo,Pseudolachnostylis maprouneifolia,NA,8.8,n,a
3163,18,1,Mugulo,Diospyros kirkii,3.8,6.1,n,a
3163,18,2,Mugulo,Diospyros kirkii,NA,7.5,n,a
3163,19,1,Mtondo,Julbernardia paniculata,7.2,8.2,n,a
3163,20,1,Mtondo,Julbernardia paniculata,9.6,14.2,n,a
3163,21,1,Mtondo,Julbernardia paniculata,7.8,9.9,n,a
3163,22,1,Kaumbu,Lannea discolor,6,9.9,n,a
3163,23,1,Mugulo,Diospyros kirkii,4,6,n,a
3163,24,1,Chimpakasa,Lonchocarpus capassa,9.8,16.5,n,a
3163,25,1,Mukungula,Mukungula sp1,4.8,7.5,n,a
3163,25,2,Mukungula,Mukungula sp1,NA,8,n,a
3163,26,1,Kafifi,Acacia gerrardii,4.8,7,n,a
3163,27,1,Mugulo,Diospyros kirkii,5.2,9.2,n,a
3163,28,1,Mtondo,Julbernardia paniculata,9.6,17.7,n,a
3163,29,1,Mtondo,Julbernardia paniculata,5.6,7.2,n,a
3163,30,1,Mtondo,Julbernardia paniculata,7.2,6.3,n,a
3163,31,1,Mugulo,Diospyros kirkii,4.8,7,n,a
3163,32,1,Mtondo,Julbernardia paniculata,8.6,9.3,n,a
3163,33,1,Mtondo,Julbernardia paniculata,10,17.7,n,a
3163,34,1,Mtondo,Julbernardia paniculata,6.2,7.2,n,a
3163,35,1,Mtondo,Julbernardia paniculata,10.2,11.4,n,a
3163,36,1,Msolo,Pseudolachnostylis maprouneifolia,3.8,5.4,n,a
3163,37,1,Kalama,Combretum molle,7,14,n,a
3163,38,1,Mtondo,Julbernardia paniculata,9.4,11.9,n,a
3163,39,1,Kalamafupa,Combretum zeyheri,5.4,9.2,n,a
3163,40,1,Mtondo,Julbernardia paniculata,5.6,5.7,n,a
3163,41,1,Chiyombo 1,Brachystegia boehmii,8.8,9.4,n,a
3163,42,1,Mtondo,Julbernardia paniculata,10.6,13.6,n,a
3163,43,1,Kalamafupa,Combretum zeyheri,5.4,11.5,n,a
3163,44,1,Kalama,Combretum molle,6.8,10.4,n,a
3163,45,1,Kalamafupa,Combretum zeyheri,8,7.9,n,a
4878,1,1,Chimpakasa,Lonchocarpus capassa,6.4,14,n,a
4878,2,1,Chiyombo 2,Brachystegia utilis,2.6,5,n,a
4878,3,1,Mpondo,Bauhinia petersiana,3.6,7.9,n,a
4878,4,1,Chimpakasa,Lonchocarpus capassa,9.2,18.4,n,a
4878,4,2,Chimpakasa,Lonchocarpus capassa,NA,17,n,a
4878,5,1,Kalama,Combretum adenogonium,6,13.8,n,a
4878,6,1,Chiyombo 2,Brachystegia utilis,2.4,8,n,a
4878,6,2,Chiyombo 2,Brachystegia utilis,NA,10.5,n,a
4878,6,3,Chiyombo 2,Brachystegia utilis,NA,8,n,a
4878,6,4,Chiyombo 2,Brachystegia utilis,NA,6.2,n,a
4878,7,1,Chimpakasa,Lonchocarpus capassa,8.2,18.6,n,a
4878,8,1,Musumbu,Brachystegia allenii,4.2,5,n,a
4878,9,1,Mtowa,Diplorhynchus condylocarpon,6.6,12.9,n,a
4878,10,1,Chimpakasa,Lonchocarpus capassa,7.2,13.7,n,a
4878,11,1,Chiyombo 2,Brachystegia utilis,3.8,10,n,a
4878,12,1,Mugulo,Diospyros kirkii,3.6,8.9,n,a
4878,13,1,Mpondo,Bauhinia petersiana,2.8,5,n,a
4878,14,1,Mugulo,Diospyros kirkii,4,9.5,n,a
4878,14,2,Mugulo,Diospyros kirkii,NA,6.8,n,a
4878,15,1,Chiyombo 2,Brachystegia utilis,3.8,11.6,n,a
4878,15,2,Chiyombo 2,Brachystegia utilis,NA,12.4,n,a
4878,17,1,Chiyombo 2,Brachystegia utilis,6.2,11.8,n,a
4878,17,2,Chiyombo 2,Brachystegia utilis,NA,16,n,a
4878,18,1,Mugulo,Diospyros kirkii,4,12.4,n,a
4878,18,2,Mugulo,Diospyros kirkii,NA,11.6,n,a
4878,19,1,Mbangozi,Pterocarpus rotundifolius,2,16,n,a
4878,20,1,Mbangozi,Pterocarpus rotundifolius,8,14,n,a
4878,21,1,Lwanhko,Lwankho sp1,3.4,5.1,n,a
4878,21,2,Lwanhko,Lwankho sp1,NA,5.4,n,a
4878,22,1,Mtowa,Diplorhynchus condylocarpon,5,8.6,n,a
4878,23,1,Chiyombo 2,Brachystegia utilis,2,5.7,n,a
4878,23,2,Chiyombo 2,Brachystegia utilis,NA,5.5,n,a
4878,24,1,Mbangozi,Pterocarpus rotundifolius,6.2,12.2,n,a
312,1,1,Msolo,Pseudolachnostylis maprouneifolia,12.2,22.3,n,a
312,1,2,Msolo,Pseudolachnostylis maprouneifolia,NA,23.6,n,a
312,1,3,Msolo,Pseudolachnostylis maprouneifolia,NA,22.5,n,a
312,1,4,Msolo,Pseudolachnostylis maprouneifolia,NA,19.9,n,a
312,2,1,Chitondotondo,Xeroderris stuhlmannii,13,39,n,a
312,3,1,Kabizi,Kabizi sp1,12.6,29.9,n,a
312,4,1,Kalamafupa,Combretum zeyheri,11.8,20,n,a
312,5,1,Mubanga,Pericopsis angolensis,12,18.9,n,a
312,6,1,Mulundu,Swartzia madagascariensis,7.4,16.1,n,a
312,7,1,Chiyombo 2,Brachystegia utilis,4.6,25.4,n,a
312,8,1,Kabizi,Kabizi sp1,12.8,28.9,n,a
312,9,1,Mubanga,Pericopsis angolensis,7.4,15.9,n,a
192,1,1,Kabesha 1,Terminalia stuhlmannii,14.6,22,n,a
192,2,1,Kabandule,Kabandule sp1,2.8,11,n,a
192,3,1,Kabizi,Kabizi sp1,11.4,14.3,n,a
192,4,1,Mphangala,Dichrostachys cinerea,7.8,10.9,n,a
192,5,1,Mubanga,Pericopsis angolensis,2.1,17.9,n,a
192,6,1,Kabizi,Kabizi sp1,13.2,20,n,a
251,1,1,Kalamafupa,Combretum zeyheri,5.6,8,n,a
